ID,Artigo,Categoria,Tipo,Keywords,Status,Data_Publicacao,Semana,Palavra-chave_Principal,URL_Slug
170,Psicologia - Artigo 20,Psicologia e Mindset,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-05-19,29,[KEYWORD_170],psicologia-20
171,Psicologia - Artigo 21,Psicologia e Mindset,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-05-20,29,[KEYWORD_171],psicologia-21
172,Psicologia - Artigo 22,Psicologia e Mindset,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-05-21,29,[KEYWORD_172],psicologia-22
173,Psicologia - Artigo 23,Psicologia e Mindset,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-05-22,29,[KEYWORD_173],psicologia-23
174,Psicologia - Artigo 24,Psicologia e Mindset,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-05-23,29,[KEYWORD_174],psicologia-24
175,Psicologia - Artigo 25,Psicologia e Mindset,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-05-24,30,[KEYWORD_175],psicologia-25
176,Psicologia - Artigo 26,Psicologia e Mindset,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-05-25,30,[KEYWORD_176],psicologia-26
177,Psicologia - Artigo 27,Psicologia e Mindset,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-05-26,30,[KEYWORD_177],psicologia-27
178,Psicologia - Artigo 28,Psicologia e Mindset,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-05-27,30,[KEYWORD_178],psicologia-28
179,Psicologia - Artigo 29,Psicologia e Mindset,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-05-28,30,[KEYWORD_179],psicologia-29
180,Psicologia - Artigo 30,Psicologia e Mindset,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-05-29,30,[KEYWORD_180],psicologia-30
181,Calistenia - Artigo 01,Treino em Casa e Calistenia,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-05-30,31,[KEYWORD_181],calistenia-01
182,Calistenia - Artigo 02,Treino em Casa e Calistenia,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-05-31,31,[KEYWORD_182],calistenia-02
183,Calistenia - Artigo 03,Treino em Casa e Calistenia,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-06-01,31,[KEYWORD_183],calistenia-03
184,Calistenia - Artigo 04,Treino em Casa e Calistenia,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-06-02,31,[KEYWORD_184],calistenia-04
185,Calistenia - Artigo 05,Treino em Casa e Calistenia,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-06-03,31,[KEYWORD_185],calistenia-05
186,Calistenia - Artigo 06,Treino em Casa e Calistenia,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-06-04,31,[KEYWORD_186],calistenia-06
187,Calistenia - Artigo 07,Treino em Casa e Calistenia,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-06-05,32,[KEYWORD_187],calistenia-07
188,Calistenia - Artigo 08,Treino em Casa e Calistenia,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-06-06,32,[KEYWORD_188],calistenia-08
189,Calistenia - Artigo 09,Treino em Casa e Calistenia,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-06-07,32,[KEYWORD_189],calistenia-09
190,Calistenia - Artigo 10,Treino em Casa e Calistenia,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-06-08,32,[KEYWORD_190],calistenia-10
191,Calistenia - Artigo 11,Treino em Casa e Calistenia,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-06-09,32,[KEYWORD_191],calistenia-11
192,Calistenia - Artigo 12,Treino em Casa e Calistenia,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-06-10,32,[KEYWORD_192],calistenia-12
193,Calistenia - Artigo 13,Treino em Casa e Calistenia,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-06-11,33,[KEYWORD_193],calistenia-13
194,Calistenia - Artigo 14,Treino em Casa e Calistenia,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-06-12,33,[KEYWORD_194],calistenia-14
195,Calistenia - Artigo 15,Treino em Casa e Calistenia,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-06-13,33,[KEYWORD_195],calistenia-15
196,Calistenia - Artigo 16,Treino em Casa e Calistenia,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-06-14,33,[KEYWORD_196],calistenia-16
197,Calistenia - Artigo 17,Treino em Casa e Calistenia,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-06-15,33,[KEYWORD_197],calistenia-17
198,Calistenia - Artigo 18,Treino em Casa e Calistenia,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-06-16,33,[KEYWORD_198],calistenia-18
199,Calistenia - Artigo 19,Treino em Casa e Calistenia,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-06-17,34,[KEYWORD_199],calistenia-19
200,Calistenia - Artigo 20,Treino em Casa e Calistenia,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-06-18,34,[KEYWORD_200],calistenia-20
201,Calistenia - Artigo 21,Treino em Casa e Calistenia,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-06-19,34,[KEYWORD_201],calistenia-21
202,Calistenia - Artigo 22,Treino em Casa e Calistenia,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-06-20,34,[KEYWORD_202],calistenia-22
203,Calistenia - Artigo 23,Treino em Casa e Calistenia,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-06-21,34,[KEYWORD_203],calistenia-23
204,Calistenia - Artigo 24,Treino em Casa e Calistenia,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-06-22,34,[KEYWORD_204],calistenia-24
205,Calistenia - Artigo 25,Treino em Casa e Calistenia,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-06-23,35,[KEYWORD_205],calistenia-25
206,Calistenia - Artigo 26,Treino em Casa e Calistenia,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-06-24,35,[KEYWORD_206],calistenia-26
207,Calistenia - Artigo 27,Treino em Casa e Calistenia,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-06-25,35,[KEYWORD_207],calistenia-27
208,Calistenia - Artigo 28,Treino em Casa e Calistenia,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-06-26,35,[KEYWORD_208],calistenia-28
209,Calistenia - Artigo 29,Treino em Casa e Calistenia,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-06-27,35,[KEYWORD_209],calistenia-29
210,Calistenia - Artigo 30,Treino em Casa e Calistenia,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-06-28,35,[KEYWORD_210],calistenia-30
211,Público Específico - Artigo 01,Público Específico,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-06-29,36,[KEYWORD_211],publico-especifico-01
212,Público Específico - Artigo 02,Público Específico,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-06-30,36,[KEYWORD_212],publico-especifico-02
213,Público Específico - Artigo 03,Público Específico,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-07-01,36,[KEYWORD_213],publico-especifico-03
214,Público Específico - Artigo 04,Público Específico,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-07-02,36,[KEYWORD_214],publico-especifico-04
215,Público Específico - Artigo 05,Público Específico,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-07-03,36,[KEYWORD_215],publico-especifico-05
216,Público Específico - Artigo 06,Público Específico,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-07-04,36,[KEYWORD_216],publico-especifico-06
217,Público Específico - Artigo 07,Público Específico,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-07-05,37,[KEYWORD_217],publico-especifico-07
218,Público Específico - Artigo 08,Público Específico,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-07-06,37,[KEYWORD_218],publico-especifico-08
219,Público Específico - Artigo 09,Público Específico,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-07-07,37,[KEYWORD_219],publico-especifico-09
220,Público Específico - Artigo 10,Público Específico,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-07-08,37,[KEYWORD_220],publico-especifico-10
221,Público Específico - Artigo 11,Público Específico,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-07-09,37,[KEYWORD_221],publico-especifico-11
222,Público Específico - Artigo 12,Público Específico,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-07-10,37,[KEYWORD_222],publico-especifico-12
223,Público Específico - Artigo 13,Público Específico,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-07-11,38,[KEYWORD_223],publico-especifico-13
224,Público Específico - Artigo 14,Público Específico,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-07-12,38,[KEYWORD_224],publico-especifico-14
225,Público Específico - Artigo 15,Público Específico,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-07-13,38,[KEYWORD_225],publico-especifico-15
226,Público Específico - Artigo 16,Público Específico,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-07-14,38,[KEYWORD_226],publico-especifico-16
227,Público Específico - Artigo 17,Público Específico,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-07-15,38,[KEYWORD_227],publico-especifico-17
228,Público Específico - Artigo 18,Público Específico,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-07-16,38,[KEYWORD_228],publico-especifico-18
229,Público Específico - Artigo 19,Público Específico,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-07-17,39,[KEYWORD_229],publico-especifico-19
230,Público Específico - Artigo 20,Público Específico,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-07-18,39,[KEYWORD_230],publico-especifico-20
231,Público Específico - Artigo 21,Público Específico,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-07-19,39,[KEYWORD_231],publico-especifico-21
232,Público Específico - Artigo 22,Público Específico,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-07-20,39,[KEYWORD_232],publico-especifico-22
233,Público Específico - Artigo 23,Público Específico,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-07-21,39,[KEYWORD_233],publico-especifico-23
234,Público Específico - Artigo 24,Público Específico,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-07-22,39,[KEYWORD_234],publico-especifico-24
235,Público Específico - Artigo 25,Público Específico,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-07-23,40,[KEYWORD_235],publico-especifico-25
236,Público Específico - Artigo 26,Público Específico,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-07-24,40,[KEYWORD_236],publico-especifico-26
237,Público Específico - Artigo 27,Público Específico,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-07-25,40,[KEYWORD_237],publico-especifico-27
238,Público Específico - Artigo 28,Público Específico,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-07-26,40,[KEYWORD_238],publico-especifico-28
239,Público Específico - Artigo 29,Público Específico,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-07-27,40,[KEYWORD_239],publico-especifico-29
240,Público Específico - Artigo 30,Público Específico,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-07-28,40,[KEYWORD_240],publico-especifico-30
241,Lesões e Recuperação - Artigo 01,Prevenção de Lesões e Recuperação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-07-29,41,[KEYWORD_241],lesoes-recuperacao-01
242,Lesões e Recuperação - Artigo 02,Prevenção de Lesões e Recuperação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-07-30,41,[KEYWORD_242],lesoes-recuperacao-02
243,Lesões e Recuperação - Artigo 03,Prevenção de Lesões e Recuperação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-07-31,41,[KEYWORD_243],lesoes-recuperacao-03
244,Lesões e Recuperação - Artigo 04,Prevenção de Lesões e Recuperação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-08-01,41,[KEYWORD_244],lesoes-recuperacao-04
245,Lesões e Recuperação - Artigo 05,Prevenção de Lesões e Recuperação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-08-02,41,[KEYWORD_245],lesoes-recuperacao-05
246,Lesões e Recuperação - Artigo 06,Prevenção de Lesões e Recuperação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-08-03,41,[KEYWORD_246],lesoes-recuperacao-06
247,Lesões e Recuperação - Artigo 07,Prevenção de Lesões e Recuperação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-08-04,42,[KEYWORD_247],lesoes-recuperacao-07
248,Lesões e Recuperação - Artigo 08,Prevenção de Lesões e Recuperação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-08-05,42,[KEYWORD_248],lesoes-recuperacao-08
249,Lesões e Recuperação - Artigo 09,Prevenção de Lesões e Recuperação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-08-06,42,[KEYWORD_249],lesoes-recuperacao-09
250,Lesões e Recuperação - Artigo 10,Prevenção de Lesões e Recuperação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-08-07,42,[KEYWORD_250],lesoes-recuperacao-10
251,Lesões e Recuperação - Artigo 11,Prevenção de Lesões e Recuperação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-08-08,42,[KEYWORD_251],lesoes-recuperacao-11
252,Lesões e Recuperação - Artigo 12,Prevenção de Lesões e Recuperação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-08-09,42,[KEYWORD_252],lesoes-recuperacao-12
253,Lesões e Recuperação - Artigo 13,Prevenção de Lesões e Recuperação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-08-10,43,[KEYWORD_253],lesoes-recuperacao-13
254,Lesões e Recuperação - Artigo 14,Prevenção de Lesões e Recuperação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-08-11,43,[KEYWORD_254],lesoes-recuperacao-14
255,Lesões e Recuperação - Artigo 15,Prevenção de Lesões e Recuperação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-08-12,43,[KEYWORD_255],lesoes-recuperacao-15
256,Lesões e Recuperação - Artigo 16,Prevenção de Lesões e Recuperação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-08-13,43,[KEYWORD_256],lesoes-recuperacao-16
257,Lesões e Recuperação - Artigo 17,Prevenção de Lesões e Recuperação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-08-14,43,[KEYWORD_257],lesoes-recuperacao-17
258,Lesões e Recuperação - Artigo 18,Prevenção de Lesões e Recuperação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-08-15,43,[KEYWORD_258],lesoes-recuperacao-18
259,Lesões e Recuperação - Artigo 19,Prevenção de Lesões e Recuperação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-08-16,44,[KEYWORD_259],lesoes-recuperacao-19
260,Lesões e Recuperação - Artigo 20,Prevenção de Lesões e Recuperação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-08-17,44,[KEYWORD_260],lesoes-recuperacao-20
261,Lesões e Recuperação - Artigo 21,Prevenção de Lesões e Recuperação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-08-18,44,[KEYWORD_261],lesoes-recuperacao-21
262,Lesões e Recuperação - Artigo 22,Prevenção de Lesões e Recuperação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-08-19,44,[KEYWORD_262],lesoes-recuperacao-22
263,Lesões e Recuperação - Artigo 23,Prevenção de Lesões e Recuperação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-08-20,44,[KEYWORD_263],lesoes-recuperacao-23
264,Lesões e Recuperação - Artigo 24,Prevenção de Lesões e Recuperação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-08-21,44,[KEYWORD_264],lesoes-recuperacao-24
265,Lesões e Recuperação - Artigo 25,Prevenção de Lesões e Recuperação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-08-22,45,[KEYWORD_265],lesoes-recuperacao-25
266,Lesões e Recuperação - Artigo 26,Prevenção de Lesões e Recuperação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-08-23,45,[KEYWORD_266],lesoes-recuperacao-26
267,Lesões e Recuperação - Artigo 27,Prevenção de Lesões e Recuperação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-08-24,45,[KEYWORD_267],lesoes-recuperacao-27
268,Lesões e Recuperação - Artigo 28,Prevenção de Lesões e Recuperação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-08-25,45,[KEYWORD_268],lesoes-recuperacao-28
269,Lesões e Recuperação - Artigo 29,Prevenção de Lesões e Recuperação,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-08-26,45,[KEYWORD_269],lesoes-recuperacao-29
270,Lesões e Recuperação - Artigo 30,Prevenção de Lesões e Recuperação,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-08-27,45,[KEYWORD_270],lesoes-recuperacao-30
271,Performance - Artigo 01,Performance e Atletas,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-08-28,46,[KEYWORD_271],performance-01
272,Performance - Artigo 02,Performance e Atletas,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-08-29,46,[KEYWORD_272],performance-02
273,Performance - Artigo 03,Performance e Atletas,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-08-30,46,[KEYWORD_273],performance-03
274,Performance - Artigo 04,Performance e Atletas,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-08-31,46,[KEYWORD_274],performance-04
275,Performance - Artigo 05,Performance e Atletas,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-09-01,46,[KEYWORD_275],performance-05
276,Performance - Artigo 06,Performance e Atletas,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-09-02,46,[KEYWORD_276],performance-06
277,Performance - Artigo 07,Performance e Atletas,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-09-03,47,[KEYWORD_277],performance-07
278,Performance - Artigo 08,Performance e Atletas,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-09-04,47,[KEYWORD_278],performance-08
279,Performance - Artigo 09,Performance e Atletas,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-09-05,47,[KEYWORD_279],performance-09
280,Performance - Artigo 10,Performance e Atletas,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-09-06,47,[KEYWORD_280],performance-10
281,Performance - Artigo 11,Performance e Atletas,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-09-07,47,[KEYWORD_281],performance-11
282,Performance - Artigo 12,Performance e Atletas,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-09-08,47,[KEYWORD_282],performance-12
283,Performance - Artigo 13,Performance e Atletas,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-09-09,48,[KEYWORD_283],performance-13
284,Performance - Artigo 14,Performance e Atletas,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-09-10,48,[KEYWORD_284],performance-14
285,Performance - Artigo 15,Performance e Atletas,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-09-11,48,[KEYWORD_285],performance-15
286,Performance - Artigo 16,Performance e Atletas,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-09-12,48,[KEYWORD_286],performance-16
287,Performance - Artigo 17,Performance e Atletas,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-09-13,48,[KEYWORD_287],performance-17
288,Performance - Artigo 18,Performance e Atletas,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-09-14,48,[KEYWORD_288],performance-18
289,Performance - Artigo 19,Performance e Atletas,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-09-15,49,[KEYWORD_289],performance-19
290,Performance - Artigo 20,Performance e Atletas,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-09-16,49,[KEYWORD_290],performance-20
291,Performance - Artigo 21,Performance e Atletas,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-09-17,49,[KEYWORD_291],performance-21
292,Performance - Artigo 22,Performance e Atletas,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-09-18,49,[KEYWORD_292],performance-22
293,Performance - Artigo 23,Performance e Atletas,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-09-19,49,[KEYWORD_293],performance-23
294,Performance - Artigo 24,Performance e Atletas,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-09-20,49,[KEYWORD_294],performance-24
295,Performance - Artigo 25,Performance e Atletas,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-09-21,50,[KEYWORD_295],performance-25
296,Performance - Artigo 26,Performance e Atletas,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-09-22,50,[KEYWORD_296],performance-26
297,Performance - Artigo 27,Performance e Atletas,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-09-23,50,[KEYWORD_297],performance-27
298,Performance - Artigo 28,Performance e Atletas,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-09-24,50,[KEYWORD_298],performance-28
299,Performance - Artigo 29,Performance e Atletas,Com Ciência,[KEYWORDS_PENDING],Pendente,2026-09-25,50,[KEYWORD_299],performance-29
300,Performance - Artigo 30,Performance e Atletas,Sem Ciência,[KEYWORDS_PENDING],Pendente,2026-09-26,50,[KEYWORD_300],performance-30
